categorie,categorie_1,sous_categorie,nom,prix,lien,rayon,categorie_2,categorie_3,famille,talon,info_pointure,semelle,doublure,matiere_exterieure,matiere,couleur_principale,reference,libelle_modele,images,membrane,origine
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Textile -Or  -Tendance -barracuda,323.0,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1470-or/8037101.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Textile,Synthétique,Synthetique,Or,8037101,BD1470,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Violet  -Tendance -barracuda,323.0,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1470-violet/8037201.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Cuir,Cuir,Cuir,Violet,8037201,BD1470,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_5.jpg,,MADE IN FRANCE
Femme,Après-ski Bottes fourrées,Sneakers,Après-ski Bottes fourrées -Femme -Synthétique -Noir  -Botte de neige -barracuda,272.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/apres-ski-bottes-fourrees/bd1263-v1947-noir/9758702.awp,Femme,Femme,Après-ski Bottes fourrées,Botte de neige,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Synthétique,Synthétique,Synthetique,Noir,9758702,BD1263 V1947,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_5.jpg,,MADE IN FRANCE
Femme,Après-ski Bottes fourrées,Sneakers,Après-ski Bottes fourrées -Femme -Synthétique -Camel  -Botte de neige -barracuda,272.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/apres-ski-bottes-fourrees/bd1263-v2248-camel/9758602.awp,Femme,Femme,Après-ski Bottes fourrées,Botte de neige,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Synthétique,Synthétique,Synthetique,Camel,9758602,BD1263 V2248,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Beige  -Tendance -barracuda,287.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1455-var2271-sand-beige/9758902.awp,Femme,Femme,Baskets et Sneakers,Tendance,Epaisse,Chausse normal,Gomme,Cuir,Cuir,Cuir,Beige,9758902,BD1455 VAR2271 SAND,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_5.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_6.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Noir  -Tendance -barracuda,287.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1455-var2274-black-noir/9758802.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Cuir,Cuir,Cuir,Noir,9758802,BD1455 VAR2274 BLACK,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758802_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Beige  -Tendance -barracuda,297.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1435-beige/9758502.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse grand,Gomme,Cuir,Cuir,Cuir,Beige,9758502,BD1435,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_5.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758502_6.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Argent  -Tendance -barracuda,297.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1435-v2226-argent/9758402.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Cuir,Cuir,Feutrine,Argent,9758402,BD1435 V2226,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758402_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Marron  -Tendance -barracuda,347.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/impact-jolt-marron/8155701.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse grand,Gomme,Cuir,Synthétique,Nubuck,Marron,8155701,IMPACT JOLT,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8155701_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Marron  -Tendance -barracuda,323.0,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1308-marron/8036801.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Cuir,Cuir,Cuir,Marron,8036801,BD1308,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8036801_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Textile -Or  -Tendance -barracuda,323.0,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1470-or/8037101.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Textile,Synthétique,Synthetique,Or,8037101,BD1470,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037101_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Violet  -Tendance -barracuda,323.0,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1470-violet/8037201.awp,Femme,Femme,Baskets et Sneakers,Tendance,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Cuir,Cuir,Cuir,Violet,8037201,BD1470,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/8037201_5.jpg,,MADE IN FRANCE
Femme,Après-ski Bottes fourrées,Sneakers,Après-ski Bottes fourrées -Femme -Synthétique -Noir  -Botte de neige -barracuda,272.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/apres-ski-bottes-fourrees/bd1263-v1947-noir/9758702.awp,Femme,Femme,Après-ski Bottes fourrées,Botte de neige,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Synthétique,Synthétique,Synthetique,Noir,9758702,BD1263 V1947,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758702_5.jpg,,MADE IN FRANCE
Femme,Après-ski Bottes fourrées,Sneakers,Après-ski Bottes fourrées -Femme -Synthétique -Camel  -Botte de neige -barracuda,272.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/apres-ski-bottes-fourrees/bd1263-v2248-camel/9758602.awp,Femme,Femme,Après-ski Bottes fourrées,Botte de neige,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Synthétique,Synthétique,Synthetique,Camel,9758602,BD1263 V2248,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758602_5.jpg,,MADE IN FRANCE
Femme,Baskets et Sneakers,Sneakers,Baskets et Sneakers -Femme -Cuir -Beige  -Tendance -barracuda,287.5,https://www.chaussuresonline.com/fr/chaussure/barracuda/femme/baskets-et-sneakers/bd1455-var2271-sand-beige/9758902.awp,Femme,Femme,Baskets et Sneakers,Tendance,Epaisse,Chausse normal,Gomme,Cuir,Cuir,Cuir,Beige,9758902,BD1455 VAR2271 SAND,https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_1.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_2.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_3.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_4.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_5.jpg;https://www.chaussuresonline.com/CHAUSSURESONLINE_WEB/photos/Web/9758902_6.jpg,,MADE IN FRANCE
